favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
91876,Twitter for iPhone,Russia and China are playing the Currency Devaluation game as the U.S. keeps raising interest rates. Not acceptable!,,False,Mon Apr 16 12:31:02 +0000 2018,19562,985858100149309441
4784,Twitter for Android,"""@classyexplorer: @oreillyfactor @DRUDGE So Bill if America was SO LONGING to learn more about candidates why the 50 percent audience loss?""",,False,Sat Jan 30 01:57:10 +0000 2016,1526,693251574898884608
98775,Twitter for iPhone,"Democrats want open Borders, where anyone can come into our Country, and stay. This is Nancy Pelosi’s dream. It won’t happen!",,False,Thu Jun 21 14:38:15 +0000 2018,23167,1009807715798044672
14969,Twitter for Android,"Mitt Romney had his chance and blew it. Lindsey Graham ran for president, got ZERO, and quit! Why are they now spokesmen against me? Sad!",,False,Tue Mar 08 17:36:00 +0000 2016,4879,707258582501302272
3195,Twitter for iPhone,"For the great people of Iowa, find your #IACaucus location at https://t.co/3KWOl20zMm. So important to vote! #MakeAmericaGreatAgain",,False,Sat Jan 23 20:15:36 +0000 2016,1374,690991290310197248
135144,Twitter for iPhone,"Have a great, but very reflective, President’s Day!",,False,Mon Feb 19 13:42:10 +0000 2018,21485,965582280772276224
121996,Twitter for Android,I will be making my Supreme Court pick on Thursday of next week.Thank you!,,False,Wed Jan 25 12:17:01 +0000 2017,19498,824229586091307008
89362,Twitter for iPhone,School shooting in Texas. Early reports not looking good. God bless all!,,False,Fri May 18 15:05:35 +0000 2018,15987,997493407097524224
353,Twitter Web Client,"Almost every major dealmaker has used the bankruptcy laws as a business tool. Icahn, Black, Zell—but nobody says they went bankrupt!",,False,Fri Jun 19 16:31:27 +0000 2015,205,611934327581077504
6566,Twitter for Android,"Our country needs a president with great leadership skills and vision, not someone like Hillary or Barack, neither of which has a clue!",,False,Sun Sep 06 20:24:00 +0000 2015,3065,640621490107490304
43166,Twitter for Android,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",,False,Mon Jan 02 18:37:10 +0000 2017,8124,815990335318982656
47340,Twitter for iPhone,Congratulations to Leah Vukmir of Wisconsin on your great win last night. You beat a very tough and good competitor… https://t.co/EjrACCt3qx,,False,Wed Aug 15 12:54:11 +0000 2018,9756,1029712857724792832
42297,Twitter for iPhone,"'Remarks by President Trump at Signing of H.J. Resolution 41'
https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br",,False,Tue Feb 14 21:48:10 +0000 2017,7617,831621079747723264
60462,Twitter for Android,Mexico will pay for the wall!,,False,Thu Sep 01 10:31:17 +0000 2016,39065,771294347501461504
2073,Twitter for Android,"""@redletter99: @realDonaldTrump I absolutely love this, can't wait till u debate Clinton""",,False,Sun Nov 15 03:25:53 +0000 2015,767,665732426837204992
79950,Twitter for iPhone,Thoughts &amp; prayers are w/ our @USNavy sailors aboard the #USSJohnSMcCain where search &amp; rescue efforts are underway. https://t.co/DQU0zTRXNU,,False,Mon Aug 21 03:01:01 +0000 2017,18895,899466340238491648
73863,Twitter for iPhone,"Fake News CNN and NBC are going out of their way to disparage our great First Responders as a way to ""get Trump."" Not fair to FR or effort!",,False,Sat Sep 30 11:48:36 +0000 2017,18504,914094625488502784
1139,Twitter for Android,"""@NottaLiberal: @realDonaldTrump @destiny @seanhannity No need, Everyone knows Jeb is full of blank.",,False,Thu Nov 05 09:21:41 +0000 2015,491,662198084873666560
100702,Twitter for iPhone,New Economic Records being set on a daily basis - and it is not by accident!,,False,Sat Sep 22 14:01:05 +0000 2018,21154,1043500433271066625
625,Twitter for Android,"""@LaneLynmil: @realDonaldTrump I have been hoping for a bigger than life candidate and I believe I finally have one. Go Donald."" Thanks.",,False,Wed Aug 05 13:01:35 +0000 2015,208,628913742621863936
69557,Twitter for iPhone,"""The Republican Party is racking up record amounts of small dollar donations - fueled by Trump supporters.....""   @nypost  Thank you!",,False,Sun Oct 08 23:58:43 +0000 2017,13051,917177470532636672
109826,Twitter for iPhone,BUILD A WALL &amp; CRIME WILL FALL! https://t.co/a0G7GWi74k,,False,Sat Jan 26 16:42:32 +0000 2019,32386,1089201935926939650
98121,Twitter for iPhone,"Today, it was my great honor to visit the Martin Luther King Jr. Memorial with @VP Mike Pence, in honor of #MLKDay https://t.co/YsDEA3kygd",,False,Mon Jan 21 17:46:05 +0000 2019,19773,1087405987479384066
48430,Twitter for iPhone,"On my way to Tampa, Florida. Look forward to seeing everyone soon! https://t.co/BSB6IjBK7r",,False,Tue Jul 31 20:49:25 +0000 2018,7838,1024396639216140288
5747,Twitter for Android,"""@Ward_II: Oh great @MittRomney is doing a @SenatorReid on @realDonaldTrump like losing the presidency wasn't enough #Trump2016"" He's a fool",,False,Wed Feb 24 23:14:39 +0000 2016,1822,702632760368885761
14225,Twitter for iPhone,"#VoteTrump #SuperTuesday
✅Florida
✅Illinois
✅Missouri
✅North Carolina
✅Ohio 
#TrumpTrain 
https://t.co/zyRctsFmSq https://t.co/kxrn0ev4UF",,False,Tue Mar 15 13:43:25 +0000 2016,5949,709736764613771264
22374,Twitter Web Client,"We are going to make this a government of the people once again!
#MakeAmericaGreatAgain #ImWithYou
https://t.co/Fi7yEb2XQb",,False,Wed Aug 17 21:44:48 +0000 2016,8827,766028026987491328
58291,Twitter for iPhone,Happy Constitution Day! https://t.co/9KiLowP3Hh,,False,Mon Sep 17 19:27:38 +0000 2018,14062,1041770673218236416
1905,Twitter for Android,I will be interviewed on Fox News Sunday With Chris Wallace at 9:00 A.M. or 10:00 A.M. (depending on location). Will be tough but good!,,False,Sat Oct 17 23:43:04 +0000 2015,858,655529490626551808
10830,Twitter for Android,"""@trump_world: ""The MAN with a PLAN! Go Trump! We got your back! https://t.co/zXl6SyiWdm"" DonaldTrump #MakeAmericaGreatAgain #Trump2016""",,False,Mon Nov 02 13:18:45 +0000 2015,8559,661170580994064384
